Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LinearSVC,0.784,0.7834534225424601,0.7834534225424601,0.7841110468478889,1.944385051727295
SGDClassifier,0.784,0.7811374163664437,0.7811374163664437,0.7834977068664813,1.1013209819793701
Perceptron,0.784,0.7811374163664437,0.7811374163664437,0.7834977068664813,1.1219828128814697
RidgeClassifierCV,0.776,0.7794647452393206,0.7794647452393207,0.7761146953405018,1.2332301139831543
RidgeClassifier,0.776,0.7794647452393206,0.7794647452393207,0.7761146953405018,0.8993268013000488
LogisticRegression,0.776,0.7736747297992794,0.7736747297992796,0.7756821465428277,0.9591810703277588
PassiveAggressiveClassifier,0.776,0.7736747297992794,0.7736747297992796,0.7756821465428277,1.6725761890411377
LGBMClassifier,0.752,0.7559186824498199,0.7559186824498199,0.752,38.60565114021301
NearestCentroid,0.744,0.7472979927946475,0.7472979927946475,0.7441310803891449,0.9408750534057617
NuSVC,0.744,0.7449819866186309,0.744981986618631,0.7443282051282051,4.649548053741455
XGBClassifier,0.728,0.7300566134843026,0.7300566134843026,0.728313524590164,121.24066710472107
BernoulliNB,0.712,0.7116572310859495,0.7116572310859495,0.7122588597842835,1.1052830219268799
LinearDiscriminantAnalysis,0.688,0.6939011837364899,0.69390118373649,0.6869605996540458,3.151021957397461
CalibratedClassifierCV,0.648,0.6693257848687597,0.6693257848687597,0.6182345881069286,5.537638902664185
SVC,0.656,0.6652084405558415,0.6652084405558415,0.6517900161030595,4.689728021621704
RandomForestClassifier,0.648,0.6589037570766856,0.6589037570766856,0.6414865424430641,3.669200897216797
ExtraTreesClassifier,0.64,0.6502830674215132,0.6502830674215132,0.634139913442284,1.8298568725585938
AdaBoostClassifier,0.632,0.6358723623262996,0.6358723623262996,0.6317644649257552,107.19699716567993
GaussianNB,0.624,0.6330416881111682,0.6330416881111683,0.6193983896940419,0.8990988731384277
DecisionTreeClassifier,0.624,0.6237776634071024,0.6237776634071024,0.6244341522868688,11.695450782775879
BaggingClassifier,0.584,0.5957282552753473,0.5957282552753473,0.5742753246753246,58.746594190597534
ExtraTreeClassifier,0.576,0.5743695316520844,0.5743695316520844,0.5762179808495598,0.8014020919799805
KNeighborsClassifier,0.496,0.5263767370046321,0.5263767370046321,0.3924834471886495,1.2978770732879639
DummyClassifier,0.464,0.5,0.5,0.294120218579235,0.813331127166748
LabelSpreading,0.464,0.5,0.5,0.294120218579235,1.7356648445129395
LabelPropagation,0.464,0.5,0.5,0.294120218579235,1.7842319011688232
QuadraticDiscriminantAnalysis,0.464,0.45946989191971177,0.45946989191971177,0.4627535688908986,5.048105239868164
