Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.88,0.8846153846153846,0.8846153846153846,0.878840579710145,1.6005570888519287
RandomForestClassifier,0.76,0.766025641025641,0.7660256410256411,0.7553246753246754,1.7464368343353271
XGBClassifier,0.76,0.7596153846153846,0.7596153846153846,0.76,13.291368961334229
SVC,0.72,0.7307692307692308,0.7307692307692308,0.7000339558573853,1.7429120540618896
GaussianNB,0.72,0.7275641025641025,0.7275641025641025,0.7108045977011495,1.3474340438842773
NearestCentroid,0.72,0.7211538461538461,0.7211538461538461,0.72,1.3564479351043701
BaggingClassifier,0.72,0.717948717948718,0.7179487179487178,0.719098228663446,15.317911863327026
CalibratedClassifierCV,0.68,0.6891025641025641,0.6891025641025641,0.6639999999999999,5.752494812011719
SGDClassifier,0.68,0.6858974358974359,0.6858974358974359,0.6737662337662337,1.4469101428985596
Perceptron,0.68,0.6858974358974359,0.6858974358974359,0.6737662337662337,1.4359002113342285
LogisticRegression,0.68,0.6858974358974359,0.6858974358974359,0.6737662337662337,1.4980309009552002
BernoulliNB,0.68,0.6826923076923077,0.6826923076923078,0.6789743589743589,1.4676992893218994
LGBMClassifier,0.68,0.6794871794871795,0.6794871794871794,0.68,35.24721097946167
AdaBoostClassifier,0.68,0.6762820512820513,0.6762820512820513,0.676883116883117,52.94365072250366
NuSVC,0.64,0.6506410256410257,0.6506410256410255,0.6143293718166383,1.7572722434997559
DecisionTreeClassifier,0.64,0.6474358974358975,0.6474358974358975,0.6281773399014778,3.6892268657684326
PassiveAggressiveClassifier,0.64,0.6442307692307692,0.6442307692307692,0.6365217391304349,1.9043219089508057
KNeighborsClassifier,0.56,0.5608974358974359,0.5608974358974359,0.56,2.2866780757904053
RidgeClassifier,0.56,0.5608974358974359,0.5608974358974359,0.56,1.321026086807251
RidgeClassifierCV,0.56,0.5608974358974359,0.5608974358974359,0.56,1.3806431293487549
LinearSVC,0.56,0.5608974358974359,0.5608974358974359,0.56,3.224736213684082
ExtraTreeClassifier,0.56,0.5576923076923077,0.5576923076923077,0.5585829307568437,1.2903327941894531
LinearDiscriminantAnalysis,0.52,0.5160256410256411,0.5160256410256411,0.5153246753246753,2.6333329677581787
LabelSpreading,0.52,0.5,0.5,0.35578947368421054,1.7132248878479004
LabelPropagation,0.52,0.5,0.5,0.35578947368421054,1.7410502433776855
DummyClassifier,0.48,0.5,0.5,0.3113513513513514,1.285498857498169
QuadraticDiscriminantAnalysis,0.48,0.48397435897435903,0.48397435897435903,0.474975845410628,2.5135059356689453
