Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NuSVC,0.7764,0.7775870901639345,0.7775870901639345,0.7760222406183402,41.95611000061035
SVC,0.7752,0.7767610143442623,0.7767610143442623,0.7744640929335221,36.27928018569946
XGBClassifier,0.776,0.7766201331967213,0.7766201331967213,0.7759496780313091,12.330600261688232
LGBMClassifier,0.7744,0.7750192110655738,0.7750192110655739,0.7743493185886756,7.289111852645874
RidgeClassifierCV,0.7508,0.7514728483606556,0.7514728483606556,0.7507152635263526,5.509646654129028
RidgeClassifier,0.75,0.7506339651639344,0.7506339651639344,0.7499319551987588,0.3748152256011963
LinearDiscriminantAnalysis,0.7496,0.7502433401639343,0.7502433401639345,0.7495277189465552,2.383453845977783
AdaBoostClassifier,0.7472,0.7483030225409837,0.7483030225409837,0.7468316344013707,49.33160972595215
CalibratedClassifierCV,0.742,0.7428790983606557,0.7428790983606558,0.7417923294809318,396.28892993927
LogisticRegression,0.7384,0.7386334528688525,0.7386334528688525,0.7384334869431645,1.1722698211669922
Perceptron,0.7352,0.7359310963114754,0.7359310963114754,0.7350752481686599,0.9078280925750732
RandomForestClassifier,0.7348,0.7357517930327868,0.7357517930327868,0.7345314876400179,13.397345066070557
LinearSVC,0.7352,0.7354508196721312,0.7354508196721311,0.735232031868532,5.971678972244263
PassiveAggressiveClassifier,0.728,0.7279969262295083,0.7279969262295083,0.7280306475733923,1.2208402156829834
ExtraTreesClassifier,0.724,0.7253201844262295,0.7253201844262295,0.7233598348000468,3.833768844604492
SGDClassifier,0.7216,0.7219006147540983,0.7219006147540984,0.7216256579351588,2.8795547485351562
NearestCentroid,0.7084,0.7085105020491803,0.7085105020491803,0.7084419501942619,0.3294258117675781
BernoulliNB,0.7016,0.7020619877049181,0.702061987704918,0.7015810932670972,0.47150492668151855
BaggingClassifier,0.7016,0.700640368852459,0.700640368852459,0.7010422694915244,86.03860998153687
QuadraticDiscriminantAnalysis,0.6852,0.6884861680327868,0.6884861680327867,0.6796464577144621,11.369571924209595
GaussianNB,0.6592,0.6578893442622951,0.6578893442622952,0.6580812114569746,0.3257129192352295
KNeighborsClassifier,0.648,0.645030737704918,0.645030737704918,0.6422438494632638,1.0282948017120361
DecisionTreeClassifier,0.642,0.6422451331967214,0.6422451331967214,0.6420349990263737,10.958362817764282
ExtraTreeClassifier,0.5744,0.5744813012295082,0.5744813012295081,0.5744602033755971,0.28415918350219727
LabelSpreading,0.522,0.5102459016393442,0.5102459016393442,0.36865831368082186,2.0772740840911865
LabelPropagation,0.522,0.5102459016393442,0.5102459016393442,0.36865831368082186,2.066052198410034
DummyClassifier,0.488,0.5,0.5,0.3200860215053763,0.25674986839294434
