Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NuSVC,0.7824,0.7831006659836066,0.7831006659836066,0.7823221430029872,11.862054109573364
CalibratedClassifierCV,0.782,0.7825179303278689,0.7825179303278689,0.7819836411517467,3.893796682357788
LinearDiscriminantAnalysis,0.7812,0.7819864241803278,0.7819864241803279,0.7810835755808138,0.2520570755004883
RidgeClassifier,0.7812,0.7819864241803278,0.7819864241803279,0.7810835755808138,0.10932493209838867
LinearSVC,0.7812,0.7816982581967213,0.7816982581967213,0.7811886223544894,0.9591770172119141
RidgeClassifierCV,0.7804,0.7811859631147541,0.7811859631147542,0.7802831498973799,0.4191300868988037
LogisticRegression,0.7788,0.7792776639344263,0.7792776639344263,0.7787933109023677,0.2582371234893799
SVC,0.7752,0.7762231045081968,0.7762231045081969,0.7749408811475409,10.441539287567139
XGBClassifier,0.7476,0.7480212602459017,0.7480212602459017,0.7476023826563812,4.251734018325806
LGBMClassifier,0.746,0.7466892930327869,0.7466892930327871,0.7459045255038548,1.898348093032837
Perceptron,0.74,0.7399269979508196,0.7399269979508196,0.7400173130903355,0.10533809661865234
SGDClassifier,0.7332,0.7324026639344262,0.7324026639344262,0.7328358280111988,0.8994290828704834
RandomForestClassifier,0.7264,0.7272220799180328,0.7272220799180327,0.7262124106707877,10.709627866744995
ExtraTreesClassifier,0.722,0.7229252049180328,0.7229252049180327,0.7217334894995207,1.955359935760498
QuadraticDiscriminantAnalysis,0.718,0.7193071209016393,0.7193071209016393,0.7173570978462837,0.5062310695648193
AdaBoostClassifier,0.7096,0.7091444672131147,0.7091444672131147,0.7094743844021852,18.67440104484558
PassiveAggressiveClassifier,0.708,0.7076011782786885,0.7076011782786885,0.707905706025875,0.19143390655517578
GaussianNB,0.6944,0.6949731045081968,0.6949731045081968,0.6943313464570003,0.09827113151550293
NearestCentroid,0.6916,0.692373206967213,0.692373206967213,0.691409436440452,0.08319687843322754
BernoulliNB,0.6892,0.6900486680327869,0.6900486680327869,0.6889498294677271,0.13359498977661133
KNeighborsClassifier,0.6796,0.6784643954918033,0.6784643954918035,0.6787897760525415,0.3048999309539795
BaggingClassifier,0.6728,0.671343493852459,0.671343493852459,0.6714653186410212,27.5751531124115
DecisionTreeClassifier,0.632,0.6319608094262295,0.6319608094262296,0.632044525846975,4.326142072677612
ExtraTreeClassifier,0.5696,0.5703317110655737,0.5703317110655738,0.5693049033359175,0.08164501190185547
LabelSpreading,0.522,0.5102459016393442,0.5102459016393442,0.36865831368082186,1.088465929031372
LabelPropagation,0.522,0.5102459016393442,0.5102459016393442,0.36865831368082186,1.0302340984344482
DummyClassifier,0.488,0.5,0.5,0.3200860215053763,0.06931185722351074
