Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NuSVC,0.7824,0.7831006659836066,0.7831006659836066,0.7823221430029872,11.893260955810547
CalibratedClassifierCV,0.782,0.7825179303278689,0.7825179303278689,0.7819836411517467,4.159850835800171
LinearDiscriminantAnalysis,0.7812,0.7819864241803278,0.7819864241803279,0.7810835755808138,0.2510530948638916
RidgeClassifier,0.7812,0.7819864241803278,0.7819864241803279,0.7810835755808138,0.09115099906921387
LinearSVC,0.7812,0.7816982581967213,0.7816982581967213,0.7811886223544894,0.9675400257110596
RidgeClassifierCV,0.7804,0.7811859631147541,0.7811859631147542,0.7802831498973799,0.42634105682373047
LogisticRegression,0.7788,0.7792776639344263,0.7792776639344263,0.7787933109023677,0.23729205131530762
SVC,0.7752,0.7762231045081968,0.7762231045081969,0.7749408811475409,10.253634929656982
XGBClassifier,0.7476,0.7480212602459017,0.7480212602459017,0.7476023826563812,2.7690587043762207
LGBMClassifier,0.746,0.7466892930327869,0.7466892930327871,0.7459045255038548,1.7544968128204346
Perceptron,0.74,0.7399269979508196,0.7399269979508196,0.7400173130903355,0.10525178909301758
SGDClassifier,0.7332,0.7324026639344262,0.7324026639344262,0.7328358280111988,0.8514437675476074
RandomForestClassifier,0.7264,0.7272220799180328,0.7272220799180327,0.7262124106707877,10.243348360061646
ExtraTreesClassifier,0.722,0.7229252049180328,0.7229252049180327,0.7217334894995207,1.7817928791046143
QuadraticDiscriminantAnalysis,0.718,0.7193071209016393,0.7193071209016393,0.7173570978462837,0.4083080291748047
AdaBoostClassifier,0.7096,0.7091444672131147,0.7091444672131147,0.7094743844021852,18.8352108001709
PassiveAggressiveClassifier,0.708,0.7076011782786885,0.7076011782786885,0.707905706025875,0.18904876708984375
GaussianNB,0.6944,0.6949731045081968,0.6949731045081968,0.6943313464570003,0.082061767578125
NearestCentroid,0.6916,0.692373206967213,0.692373206967213,0.691409436440452,0.0828561782836914
BernoulliNB,0.6892,0.6900486680327869,0.6900486680327869,0.6889498294677271,0.1496717929840088
KNeighborsClassifier,0.6796,0.6784643954918033,0.6784643954918035,0.6787897760525415,0.29570484161376953
BaggingClassifier,0.6728,0.671343493852459,0.671343493852459,0.6714653186410212,28.88729429244995
DecisionTreeClassifier,0.632,0.6319608094262295,0.6319608094262296,0.632044525846975,4.281030178070068
ExtraTreeClassifier,0.5696,0.5703317110655737,0.5703317110655738,0.5693049033359175,0.08078598976135254
LabelSpreading,0.522,0.5102459016393442,0.5102459016393442,0.36865831368082186,1.0773282051086426
LabelPropagation,0.522,0.5102459016393442,0.5102459016393442,0.36865831368082186,1.035236120223999
DummyClassifier,0.488,0.5,0.5,0.3200860215053763,0.06156182289123535
