Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LogisticRegression,0.7816,0.7822809938524591,0.7822809938524591,0.7815295464029965,0.053572893142700195
SVC,0.7808,0.7819415983606557,0.7819415983606557,0.7804663990099949,6.314399003982544
NearestCentroid,0.7784,0.7793865266393443,0.7793865266393443,0.7781695621995292,0.05087614059448242
NuSVC,0.7784,0.7792712602459015,0.7792712602459017,0.7782377030709032,7.043163061141968
LinearSVC,0.7776,0.7784131659836065,0.7784131659836067,0.7774674545607018,0.10599994659423828
CalibratedClassifierCV,0.7768,0.7775358606557377,0.7775358606557378,0.7767035637131746,0.3703470230102539
LinearDiscriminantAnalysis,0.7764,0.7772797131147541,0.7772797131147542,0.7762309036127705,0.1368412971496582
RidgeClassifierCV,0.7764,0.7772797131147541,0.7772797131147542,0.7762309036127705,0.17061924934387207
RidgeClassifier,0.7764,0.7772797131147541,0.7772797131147542,0.7762309036127705,0.04500913619995117
LGBMClassifier,0.7412,0.7419441598360657,0.7419441598360657,0.7410728967015213,1.111698865890503
SGDClassifier,0.7372,0.7376536885245901,0.7376536885245902,0.7371920529165562,0.64959716796875
XGBClassifier,0.7352,0.7354700307377049,0.735470030737705,0.7352298282937669,1.5082778930664062
QuadraticDiscriminantAnalysis,0.722,0.722905993852459,0.722905993852459,0.7217480938867519,0.15511679649353027
Perceptron,0.72,0.7201075819672131,0.720107581967213,0.7200401473777464,0.052049875259399414
BernoulliNB,0.7164,0.7170338114754098,0.7170338114754099,0.716313369883627,0.08029794692993164
PassiveAggressiveClassifier,0.716,0.7170274077868852,0.7170274077868852,0.7156391516744414,0.08705902099609375
AdaBoostClassifier,0.7072,0.7074154713114754,0.7074154713114755,0.7072374807987711,9.97805905342102
RandomForestClassifier,0.7036,0.704437756147541,0.704437756147541,0.7033758489750679,7.556406021118164
ExtraTreesClassifier,0.7004,0.7010822233606557,0.7010822233606556,0.7002762605336175,1.8186111450195312
BaggingClassifier,0.6584,0.6569544057377049,0.6569544057377049,0.6570421538808155,13.190842151641846
GaussianNB,0.6312,0.6298347848360656,0.6298347848360657,0.6299187853834277,0.07843303680419922
DecisionTreeClassifier,0.5984,0.5984375,0.5984375000000001,0.5984575828103676,1.871933937072754
KNeighborsClassifier,0.59,0.5831647028688525,0.5831647028688525,0.5530344654445167,0.1506659984588623
ExtraTreeClassifier,0.5612,0.5614754098360656,0.5614754098360656,0.561219307277229,0.05037093162536621
LabelSpreading,0.5216,0.5098552766393443,0.5098552766393443,0.36846279239009694,1.0925419330596924
LabelPropagation,0.5216,0.5098552766393443,0.5098552766393443,0.36846279239009694,0.9423081874847412
DummyClassifier,0.488,0.5,0.5,0.3200860215053763,0.037001848220825195
