Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NuSVC,0.7916,0.7926421618852459,0.7926421618852459,0.7913537413234344,39.56342673301697
SVC,0.782,0.7831518954918033,0.7831518954918032,0.7816610610871254,34.77332782745361
RidgeClassifierCV,0.7808,0.7812307889344263,0.7812307889344263,0.7808040683546037,5.854540109634399
LinearDiscriminantAnalysis,0.78,0.7804879610655737,0.7804879610655737,0.7799909887769313,2.4320242404937744
RidgeClassifier,0.78,0.78046875,0.78046875,0.7799956351972065,0.40929293632507324
LogisticRegression,0.7784,0.7784643954918032,0.7784643954918032,0.7784283720632482,1.2475237846374512
PassiveAggressiveClassifier,0.7752,0.7753778176229509,0.7753778176229508,0.7752322313711033,2.977757215499878
SGDClassifier,0.7744,0.7743468237704918,0.7743468237704918,0.7744150224353065,1.8806829452514648
CalibratedClassifierCV,0.7728,0.7732261782786886,0.7732261782786886,0.7728042168346989,448.60873794555664
LGBMClassifier,0.7672,0.7682377049180328,0.7682377049180328,0.7669180827376069,6.162998914718628
XGBClassifier,0.764,0.7648821721311476,0.7648821721311476,0.76381581988398,11.966042041778564
Perceptron,0.7524,0.752420594262295,0.7524205942622951,0.7524289678658536,1.0002260208129883
LinearSVC,0.742,0.7421490778688524,0.7421490778688525,0.7420371157142904,35.410162925720215
AdaBoostClassifier,0.728,0.728688524590164,0.7286885245901639,0.7278927532669699,77.1908700466156
ExtraTreesClassifier,0.7264,0.727548668032787,0.727548668032787,0.7259471127236947,3.8834779262542725
RandomForestClassifier,0.7248,0.7260053790983607,0.7260053790983607,0.7242867392055068,22.115955114364624
QuadraticDiscriminantAnalysis,0.7176,0.7203381147540984,0.7203381147540983,0.7142665371975095,11.59059476852417
NearestCentroid,0.696,0.6968429815573771,0.696842981557377,0.6957627510369911,0.31559205055236816
BaggingClassifier,0.6972,0.6964011270491803,0.6964011270491803,0.696805373433584,136.47997498512268
GaussianNB,0.6944,0.6954149590163934,0.6954149590163935,0.6940117068722157,0.3292250633239746
BernoulliNB,0.6876,0.6884093237704918,0.6884093237704918,0.6873785553518152,0.511246919631958
KNeighborsClassifier,0.6868,0.6867251536885246,0.6867251536885246,0.6868270207482907,1.0190210342407227
DecisionTreeClassifier,0.6312,0.6310066598360655,0.6310066598360655,0.6312068486141982,18.171485900878906
ExtraTreeClassifier,0.5924,0.5926165471311475,0.5926165471311475,0.5924398480534914,0.28595471382141113
LabelSpreading,0.5216,0.5098360655737705,0.5098360655737705,0.3677965681490537,2.1464548110961914
LabelPropagation,0.5216,0.5098360655737705,0.5098360655737705,0.3677965681490537,2.1083850860595703
DummyClassifier,0.488,0.5,0.5,0.3200860215053763,0.2896919250488281
